time = 0, robot_id = 0, x = 0.27, y = -0.10
time = 0, robot_id = 1, x = -0.20, y = -0.05
time = 0, robot_id = 2, x = -0.09, y = -0.34
time = 0, robot_id = 3, x = 0.01, y = 0.32
time = 0, robot_id = 4, x = 0.01, y = -0.00
time = 64, robot_id = 0, x = -0.44, y = -0.40
time = 64, robot_id = 1, x = 0.20, y = -0.12
time = 64, robot_id = 2, x = 0.08, y = 0.25
time = 64, robot_id = 3, x = -0.17, y = 0.37
time = 64, robot_id = 4, x = 0.31, y = 0.05
time = 128, robot_id = 0, x = -0.44, y = -0.40
time = 128, robot_id = 1, x = 0.20, y = -0.12
time = 128, robot_id = 2, x = 0.08, y = 0.25
time = 128, robot_id = 3, x = -0.17, y = 0.37
time = 128, robot_id = 4, x = 0.31, y = 0.05
time = 192, robot_id = 0, x = -0.44, y = -0.40
time = 192, robot_id = 1, x = 0.20, y = -0.12
time = 192, robot_id = 2, x = 0.08, y = 0.25
time = 192, robot_id = 3, x = -0.16, y = 0.37
time = 192, robot_id = 4, x = 0.32, y = 0.05
time = 256, robot_id = 0, x = -0.43, y = -0.40
time = 256, robot_id = 1, x = 0.21, y = -0.12
time = 256, robot_id = 2, x = 0.09, y = 0.25
time = 256, robot_id = 3, x = -0.15, y = 0.37
time = 256, robot_id = 4, x = 0.32, y = 0.05
time = 320, robot_id = 0, x = -0.43, y = -0.40
time = 320, robot_id = 1, x = 0.22, y = -0.12
time = 320, robot_id = 2, x = 0.10, y = 0.25
time = 320, robot_id = 3, x = -0.15, y = 0.37
time = 320, robot_id = 4, x = 0.32, y = 0.05
time = 384, robot_id = 0, x = -0.42, y = -0.40
time = 384, robot_id = 1, x = 0.22, y = -0.12
time = 384, robot_id = 2, x = 0.10, y = 0.25
time = 384, robot_id = 3, x = -0.14, y = 0.37
time = 384, robot_id = 4, x = 0.32, y = 0.05
time = 448, robot_id = 0, x = -0.41, y = -0.40
time = 448, robot_id = 1, x = 0.23, y = -0.12
time = 448, robot_id = 2, x = 0.11, y = 0.25
time = 448, robot_id = 3, x = -0.13, y = 0.37
time = 448, robot_id = 4, x = 0.32, y = 0.05
time = 512, robot_id = 0, x = -0.41, y = -0.40
time = 512, robot_id = 1, x = 0.23, y = -0.12
time = 512, robot_id = 2, x = 0.11, y = 0.25
time = 512, robot_id = 3, x = -0.13, y = 0.37
time = 512, robot_id = 4, x = 0.32, y = 0.05
time = 576, robot_id = 0, x = -0.40, y = -0.40
time = 576, robot_id = 1, x = 0.24, y = -0.12
time = 576, robot_id = 2, x = 0.12, y = 0.25
time = 576, robot_id = 3, x = -0.12, y = 0.36
time = 576, robot_id = 4, x = 0.32, y = 0.05
time = 640, robot_id = 0, x = -0.40, y = -0.39
time = 640, robot_id = 1, x = 0.24, y = -0.13
time = 640, robot_id = 2, x = 0.12, y = 0.25
time = 640, robot_id = 3, x = -0.12, y = 0.36
time = 640, robot_id = 4, x = 0.32, y = 0.05
time = 704, robot_id = 0, x = -0.39, y = -0.39
time = 704, robot_id = 1, x = 0.25, y = -0.13
time = 704, robot_id = 2, x = 0.13, y = 0.25
time = 704, robot_id = 3, x = -0.11, y = 0.36
